"id","location_id","employee_id","clockIn","clockOut","comment","created_at","updated_at","transNo"
36813,0,18,"2018-01-12 08:19:04","2018-01-12 17:31:12","","2018-01-12 08:19:04","2018-01-12 17:31:12",NULL
36814,0,16,"2018-01-12 08:19:15","2018-01-12 17:30:57","","2018-01-12 08:19:15","2018-01-12 17:30:57",NULL
36815,0,147,"2018-01-12 08:53:22","2018-01-12 17:57:05","","2018-01-12 08:53:22","2018-01-12 17:57:05",NULL
36816,0,145,"2018-01-12 08:55:52","2018-01-12 17:57:15","","2018-01-12 08:55:52","2018-01-12 17:57:15",NULL
36817,0,603,"2018-01-12 08:56:26","2018-01-12 17:55:47","","2018-01-12 08:56:26","2018-01-12 17:55:47",NULL
36818,0,688,"2018-01-12 08:56:51","2018-01-12 17:56:02","","2018-01-12 08:56:51","2018-01-12 17:56:02",NULL
36819,0,722,"2018-01-12 08:57:00","2018-01-12 15:07:09","","2018-01-12 08:57:00","2018-01-12 15:07:09",NULL
36820,0,26,"2018-01-12 09:13:59","2018-01-12 17:31:22","","2018-01-12 09:13:59","2018-01-12 17:31:22",NULL
36821,0,15,"2018-01-12 09:16:07","2018-01-12 18:08:21","","2018-01-12 09:16:07","2018-01-12 18:08:21",NULL
36822,0,365,"2018-01-12 09:40:21","2018-01-12 17:56:38","","2018-01-12 09:40:21","2018-01-12 17:56:38",NULL
36823,0,665,"2018-01-12 09:40:37","2018-01-12 17:56:15","","2018-01-12 09:40:37","2018-01-12 17:56:15",NULL
36824,0,19,"2018-01-12 09:40:49","2018-01-12 17:56:50","","2018-01-12 09:40:49","2018-01-12 17:56:50",NULL
36826,0,565,"2018-01-12 10:16:23","2018-01-12 18:08:41","","2018-01-12 10:16:23","2018-01-12 18:08:41",NULL
36827,0,23,"2018-01-12 18:08:49","2018-01-12 18:08:52","","2018-01-12 18:08:49","2018-01-12 18:08:53",NULL
36828,0,189,"2018-01-13 07:22:49","2018-01-13 16:00:20","","2018-01-13 07:22:49","2018-01-13 16:00:20",NULL
36829,0,18,"2018-01-13 08:18:21","2018-01-13 17:30:48","","2018-01-13 08:18:21","2018-01-13 17:30:48",NULL
36830,0,16,"2018-01-13 08:18:45","2018-01-13 17:30:37","","2018-01-13 08:18:45","2018-01-13 17:30:37",NULL
36831,0,688,"2018-01-13 08:44:31","2018-01-13 18:00:46","","2018-01-13 08:44:31","2018-01-13 18:00:46",NULL
36832,0,145,"2018-01-13 08:48:10","2018-01-13 18:01:12","","2018-01-13 08:48:10","2018-01-13 18:01:12",NULL
36833,0,146,"2018-01-13 08:52:39","2018-01-13 18:00:06","","2018-01-13 08:52:39","2018-01-13 18:00:06",NULL
36834,0,147,"2018-01-13 08:52:55","2018-01-13 18:01:32","","2018-01-13 08:52:55","2018-01-13 18:01:32",NULL
36835,0,603,"2018-01-13 08:53:15","2018-01-13 18:01:04","","2018-01-13 08:53:15","2018-01-13 18:01:04",NULL
36836,0,26,"2018-01-13 09:17:51","2018-01-13 17:30:20","","2018-01-13 09:17:51","2018-01-13 17:30:20",NULL
36837,0,365,"2018-01-13 09:48:39","2018-01-13 18:00:22","","2018-01-13 09:48:39","2018-01-13 18:00:22",NULL
36838,0,19,"2018-01-13 09:48:51","2018-01-13 18:00:32","","2018-01-13 09:48:51","2018-01-13 18:00:32",NULL
36839,0,15,"2018-01-13 09:54:42","2018-01-13 18:10:40","","2018-01-13 09:54:42","2018-01-13 18:10:40",NULL
36840,0,565,"2018-01-13 10:00:26","2018-01-14 10:07:02","","2018-01-13 10:00:26","2018-01-14 10:07:02",NULL
36847,0,189,"2018-01-14 07:21:25","2018-01-14 16:03:27","","2018-01-14 07:21:25","2018-01-14 16:03:27",NULL
36848,0,18,"2018-01-14 08:22:19","2018-01-14 17:30:56","","2018-01-14 08:22:19","2018-01-14 17:30:56",NULL
36849,0,16,"2018-01-14 08:22:45","2018-01-14 17:30:15","","2018-01-14 08:22:45","2018-01-14 17:30:15",NULL
36850,0,145,"2018-01-14 08:50:26","2018-01-14 17:55:45","","2018-01-14 08:50:26","2018-01-14 17:55:45",NULL
36851,0,147,"2018-01-14 08:51:39","2018-01-14 17:55:55","","2018-01-14 08:51:39","2018-01-14 17:55:55",NULL
36852,0,603,"2018-01-14 08:56:21","2018-01-14 17:56:02","","2018-01-14 08:56:21","2018-01-14 17:56:02",NULL
36853,0,146,"2018-01-14 08:56:47","2018-01-14 18:00:24","","2018-01-14 08:56:47","2018-01-14 18:00:25",NULL
36854,0,688,"2018-01-14 08:58:36","2018-01-14 17:56:07","","2018-01-14 08:58:36","2018-01-14 17:56:07",NULL
36855,0,15,"2018-01-14 09:10:32","2018-01-14 18:18:20","","2018-01-14 09:10:32","2018-01-14 18:18:20",NULL
36856,0,26,"2018-01-14 09:12:31","2018-01-14 17:30:38","","2018-01-14 09:12:31","2018-01-14 17:30:38",NULL
36857,0,365,"2018-01-14 09:45:03","2018-01-14 17:56:26","","2018-01-14 09:45:04","2018-01-14 17:56:26",NULL
36858,0,665,"2018-01-14 09:45:15","2018-01-14 17:56:48","","2018-01-14 09:45:15","2018-01-14 17:56:48",NULL
36859,0,19,"2018-01-14 09:45:25","2018-01-14 17:56:38","","2018-01-14 09:45:25","2018-01-14 17:56:38",NULL
36860,0,565,"2018-01-14 10:07:09","2018-01-15 09:03:50","","2018-01-14 10:07:10","2018-01-15 09:03:50",NULL
36861,0,189,"2018-01-15 07:28:33",NULL,"","2018-01-15 07:28:33","2018-01-15 07:28:33",NULL
36862,0,18,"2018-01-15 08:28:31",NULL,"","2018-01-15 08:28:31","2018-01-15 08:28:31",NULL
36863,0,16,"2018-01-15 08:28:45",NULL,"","2018-01-15 08:28:45","2018-01-15 08:28:45",NULL
36864,0,688,"2018-01-15 08:48:51",NULL,"","2018-01-15 08:48:51","2018-01-15 08:48:51",NULL
36865,0,147,"2018-01-15 08:49:06",NULL,"","2018-01-15 08:49:06","2018-01-15 08:49:06",NULL
36866,0,603,"2018-01-15 08:49:16",NULL,"","2018-01-15 08:49:16","2018-01-15 08:49:16",NULL
36867,0,145,"2018-01-15 08:54:00",NULL,"","2018-01-15 08:54:00","2018-01-15 08:54:00",NULL
36868,0,565,"2018-01-15 09:03:56",NULL,"","2018-01-15 09:03:56","2018-01-15 09:03:56",NULL
36869,0,722,"2018-01-15 09:09:25",NULL,"","2018-01-15 09:09:25","2018-01-15 09:09:25",NULL
36870,0,26,"2018-01-15 09:26:46",NULL,"","2018-01-15 09:26:46","2018-01-15 09:26:46",NULL
36871,0,19,"2018-01-15 09:43:30",NULL,"","2018-01-15 09:43:30","2018-01-15 09:43:30",NULL
