"id","location","employee_id","role","start_time","end_time","published","note"
44137,1,567,2,"2018-01-04 17:00:00","2018-01-04 23:00:00",1,""
44139,1,99,2,"2018-01-04 12:30:00","2018-01-04 22:00:00",1,""
44140,1,60,2,"2018-01-04 23:00:00","2018-01-05 07:00:00",1,""
44144,1,43,3,"2018-01-04 20:00:00","2018-01-05 05:00:00",1,""
44145,1,47,3,"2018-01-05 09:30:00","2018-01-05 19:00:00",1,""
44146,1,550,2,"2018-01-04 22:00:00","2018-01-05 05:00:00",1,""
44148,1,488,7,"2018-01-05 18:00:00","2018-01-06 02:00:00",1,""
44150,1,656,6,"2018-01-05 20:00:00","2018-01-06 06:00:00",1,""
44151,1,714,10,"2018-01-05 23:00:00","2018-01-06 07:30:00",1,""
44152,1,473,5,"2018-01-05 11:30:00","2018-01-05 22:00:00",1,""
44153,1,60,2,"2018-01-05 23:00:00","2018-01-06 08:00:00",1,""
44155,1,99,2,"2018-01-05 12:30:00","2018-01-05 22:00:00",1,""
44158,1,272,2,"2018-01-05 07:00:00","2018-01-05 14:00:00",1,""
44159,1,185,2,"2018-01-05 19:00:00","2018-01-06 02:00:00",1,""
44160,1,195,2,"2018-01-05 12:00:00","2018-01-05 17:00:00",1,""
44162,1,496,12,"2018-01-05 09:30:00","2018-01-05 14:30:00",1,""
44163,1,550,2,"2018-01-05 22:00:00","2018-01-06 05:00:00",1,""
44166,1,227,5,"2018-01-05 11:00:00","2018-01-05 23:00:00",1,""
44167,1,625,2,"2018-01-05 22:00:00","2018-01-06 06:00:00",1,""
44169,1,47,3,"2018-01-06 09:30:00","2018-01-06 19:00:00",1,""
44170,1,99,2,"2018-01-06 12:30:00","2018-01-06 22:00:00",1,""
44171,1,272,2,"2018-01-06 19:00:00","2018-01-07 02:00:00",1,""
44172,1,492,2,"2018-01-06 18:00:00","2018-01-06 23:00:00",1,""
44173,1,629,2,"2018-01-06 17:00:00","2018-01-06 23:00:00",1,""
44174,1,227,10,"2018-01-06 20:30:00","2018-01-07 08:00:00",1,""
44175,1,60,2,"2018-01-06 23:00:00","2018-01-07 08:00:00",1,""
44176,1,625,2,"2018-01-06 23:00:00","2018-01-07 06:00:00",1,""
44177,1,656,6,"2018-01-06 20:00:00","2018-01-07 06:00:00",1,""
44178,1,371,6,"2018-01-06 10:30:00","2018-01-06 23:30:00",1,""
44179,1,662,5,"2018-01-06 23:30:00","2018-01-07 09:30:00",1,""
44180,1,614,2,"2018-01-06 08:00:00","2018-01-06 15:00:00",1,""
44181,1,686,2,"2018-01-06 11:30:00","2018-01-06 19:00:00",1,""
44182,1,48,8,"2018-01-06 20:30:00","2018-01-07 07:00:00",1,""
44184,1,53,10,"2018-01-06 09:00:00","2018-01-06 15:00:00",1,""
44187,1,159,2,"2018-01-06 10:30:00","2018-01-06 17:00:00",1,""
44189,1,629,2,"2018-01-07 11:30:00","2018-01-07 19:00:00",1,""
44190,1,662,5,"2018-01-07 23:30:00","2018-01-08 09:30:00",0,""
44191,1,586,6,"2018-01-07 21:00:00","2018-01-08 01:00:00",0,""
44192,1,667,7,"2018-01-07 17:00:00","2018-01-07 23:00:00",1,""
44193,1,649,8,"2018-01-07 10:30:00","2018-01-07 20:00:00",1,""
44194,1,567,2,"2018-01-07 10:30:00","2018-01-07 17:00:00",1,""
44195,1,312,2,"2018-01-07 18:00:00","2018-01-08 02:00:00",0,""
44196,1,53,6,"2018-01-07 12:30:00","2018-01-07 21:00:00",1,""
44199,1,48,8,"2018-01-07 21:00:00","2018-01-08 05:00:00",0,""
44200,1,60,2,"2018-01-07 23:00:00","2018-01-08 08:00:00",0,""
44201,1,496,12,"2018-01-07 09:00:00","2018-01-07 15:00:00",1,""
44203,1,99,2,"2018-01-07 12:30:00","2018-01-07 22:00:00",1,""
44204,1,371,10,"2018-01-07 10:30:00","2018-01-07 23:30:00",1,""
44205,1,195,2,"2018-01-07 17:00:00","2018-01-07 23:00:00",1,""
44206,1,417,2,"2018-01-07 08:00:00","2018-01-07 15:00:00",1,""
44207,1,47,3,"2018-01-07 09:30:00","2018-01-07 20:00:00",1,""
44209,1,99,2,"2018-01-01 17:00:00","2018-01-01 23:00:00",1,""
44211,1,185,2,"2018-01-02 18:00:00","2018-01-03 01:00:00",1,""
44212,1,717,2,"2018-01-01 22:00:00","2018-01-02 06:00:00",1,""
44213,1,717,2,"2018-01-02 22:00:00","2018-01-03 05:30:00",1,"加班"
44214,1,717,2,"2018-01-06 22:00:00","2018-01-07 05:00:00",1,""
44215,1,717,2,"2018-01-07 22:00:00","2018-01-08 05:00:00",0,""
44216,1,686,2,"2018-01-04 11:00:00","2018-01-04 15:00:00",1,""
44217,1,686,2,"2018-01-05 11:00:00","2018-01-05 15:00:00",1,""
44218,1,614,2,"2018-01-03 17:00:00","2018-01-03 22:00:00",1,""
44219,1,614,2,"2018-01-05 18:00:00","2018-01-05 23:00:00",1,""
44224,3,652,5,"2018-01-02 11:00:00","2018-01-02 21:30:00",1,""
44227,1,43,3,"2018-01-03 20:00:00","2018-01-04 05:00:00",1,""
44228,1,43,3,"2018-01-06 19:00:00","2018-01-07 05:00:00",1,""
44229,1,43,3,"2018-01-07 20:00:00","2018-01-08 05:00:00",0,""
44230,1,47,3,"2018-01-02 15:00:00","2018-01-02 22:00:00",1,""
44231,1,48,8,"2018-01-05 19:00:00","2018-01-06 07:00:00",1,""
44233,1,227,6,"2018-01-03 23:00:00","2018-01-04 09:45:00",1,"接班人迟到"
44234,1,371,6,"2018-01-04 11:00:00","2018-01-04 23:00:00",1,""
44235,1,488,7,"2018-01-01 21:00:00","2018-01-02 01:30:00",1,"加班"
44236,1,488,12,"2018-01-03 20:00:00","2018-01-04 01:00:00",1,""
44237,1,488,7,"2018-01-06 20:00:00","2018-01-07 02:00:00",1,""
44238,1,605,7,"2018-01-07 11:30:00","2018-01-07 17:00:00",1,""
44242,1,648,6,"2018-01-04 23:00:00","2018-01-05 09:30:00",1,""
44243,1,648,6,"2018-01-05 22:00:00","2018-01-06 09:30:00",1,""
44244,1,649,8,"2018-01-06 10:30:00","2018-01-06 20:30:00",1,""
44245,1,651,6,"2018-01-02 11:30:00","2018-01-02 23:00:00",1,""
44246,1,651,7,"2018-01-06 12:30:00","2018-01-06 20:00:00",1,""
44247,1,667,6,"2018-01-02 18:00:00","2018-01-03 01:00:00",1,""
44248,1,714,5,"2018-01-01 23:00:00","2018-01-02 07:30:00",1,""
44249,1,714,5,"2018-01-02 23:00:00","2018-01-03 07:30:00",1,""
44250,1,680,3,"2018-01-05 19:00:00","2018-01-06 05:00:00",1,""
44251,1,716,8,"2018-01-02 11:00:00","2018-01-02 22:00:00",1,""
44252,1,716,8,"2018-01-03 19:30:00","2018-01-04 05:00:00",1,""
44253,1,716,8,"2018-01-04 19:30:00","2018-01-05 05:00:00",1,""
44254,1,712,3,"2018-01-02 22:00:00","2018-01-03 05:00:00",1,""
44255,1,312,2,"2018-01-01 18:00:00","2018-01-02 02:00:00",1,""
44342,1,64,5,"2018-01-06 11:30:00","2018-01-06 23:00:00",1,""
44346,4,551,5,"2018-01-01 22:00:00","2018-01-02 08:00:00",1,""
44347,4,483,4,"2018-01-01 08:00:00","2018-01-01 14:30:00",1,""
44348,4,646,8,"2018-01-01 11:00:00","2018-01-01 15:00:00",1,""
44349,4,630,2,"2018-01-02 08:00:00","2018-01-02 13:30:00",1,""
44350,4,637,2,"2018-01-01 08:00:00","2018-01-01 15:00:00",1,""
44351,4,638,8,"2018-01-06 11:30:00","2018-01-06 16:00:00",1,"调班"
44352,4,654,5,"2018-01-01 12:00:00","2018-01-01 22:00:00",1,""
44354,4,660,6,"2018-01-01 15:00:00","2018-01-01 22:00:00",1,""
44355,4,515,3,"2018-01-01 21:00:00","2018-01-02 05:00:00",1,""
44359,4,551,5,"2018-01-02 22:00:00","2018-01-03 07:00:00",1,"生病"
44364,4,557,2,"2018-01-02 22:00:00","2018-01-03 08:00:00",1,""
44365,4,403,3,"2018-01-02 08:00:00","2018-01-02 20:00:00",1,""
44367,4,660,8,"2018-01-04 16:00:00","2018-01-04 22:00:00",1,"排班调整"
44368,4,599,2,"2018-01-02 18:30:00","2018-01-03 01:00:00",1,""
